Date,ID,Date,FCO2 µmol m-2 s-1,FCO2 uncertainty µmol m-2 s-1,PAR µmol m-2 s-1,PAR StD µmol m-2 s-1,AirT,Timestamp_rounded,AirRH,PAR,SW_in,SW_out,LW_in,LW_out,NR01_T,Rain_Tot,WS_ms_S_WVT,WindDir_D1_WVT
2018-05-17 15:47:34,AST1P1,17-May-2018 15:47:34,-1.334,0.1942,272.1817,42.3829,4.476,2018-05-17 16:00:00,88.3,309.7,239.9982,47.0701,353.9704,330.6103,5.5925,0.0,1.032,57.12
2018-05-17 15:53:07,AST1P1,17-May-2018 15:53:07,-1.2754,0.28369,246.7441,19.9155,4.476,2018-05-17 16:00:00,88.3,309.7,239.9982,47.0701,353.9704,330.6103,5.5925,0.0,1.032,57.12
2018-05-17 16:00:23,AST1P1,17-May-2018 16:00:23,1.5579,0.42097,1.2719,3.1155,4.476,2018-05-17 16:00:00,88.3,309.7,239.9982,47.0701,353.9704,330.6103,5.5925,0.0,1.032,57.12
2018-05-17 16:06:23,AST1P1,17-May-2018 16:06:23,1.4803,0.24372,4.489,9.2125,4.476,2018-05-17 16:00:00,88.3,309.7,239.9982,47.0701,353.9704,330.6103,5.5925,0.0,1.032,57.12
2018-05-17 16:13:59,AST1P1,17-May-2018 16:13:59,-1.0488,0.24154,194.4064,31.8475,4.476,2018-05-17 16:00:00,88.3,309.7,239.9982,47.0701,353.9704,330.6103,5.5925,0.0,1.032,57.12
2018-07-16 17:49:35,AST1P1,16-Jul-2018 17:49:35,-1.3854,0.21405,277.7016,69.8689,0.333,2018-07-16 18:00:00,68.99,478.6,227.4747,71.99338,266.3188,314.1819,1.055018,0.0,3.265,314.4
2018-03-07 16:46:58,AST1P1,07-Mar-2018 16:46:58,-6.9074,1.1175,1045.3224,21.2819,13.93,2018-03-07 17:00:00,41.61,1647.0,718.5799,151.9329,293.5866,402.7068,15.4464,0.0,4.168,255.6
2018-03-07 17:46:02,AST1P1,07-Mar-2018 17:46:02,-6.5589,0.94847,1024.5734,16.3793,13.91,2018-03-07 18:00:00,45.56,1587.0,695.3019,146.4005,292.8372,400.4524,15.2333,0.0,4.866,262.1
2018-02-01 18:31:59,AST1P1,01-Feb-2018 18:31:59,0.11766,0.031709,112.116,46.9711,13.56,2018-02-01 18:30:00,60.47,309.9,110.6405,19.655,376.7727,378.7719,14.2177,0.0,1.242,0.0
2018-01-23 20:05:28,AST1P1,23-Jan-2018 20:05:28,-3.371,0.55085,234.7376,58.3719,9.45,2018-01-23 20:00:00,61.81,509.3,214.612,44.7667,349.2205,357.0098,9.4272,0.2,3.335,244.5
